img_path,timestamp,flow_rate,feed_rate,z_offset,target_hotend,hotend,bed,nozzle_tip_x,nozzle_tip_y,img_num,print_id,flow_rate_class,feed_rate_class,z_offset_class,hotend_class
caxton_dataset/print0/image-6.jpg,2020-10-08T13:12:50-34,100,100,0.0,205.0,204.13,65.74,531,554,5,0,1,1,1,1
caxton_dataset/print0/image-7.jpg,2020-10-08T13:12:50-80,100,100,0.0,205.0,204.13,65.74,531,554,6,0,1,1,1,1
caxton_dataset/print0/image-8.jpg,2020-10-08T13:12:51-27,100,100,0.0,205.0,204.24,65.84,531,554,7,0,1,1,1,1
caxton_dataset/print0/image-9.jpg,2020-10-08T13:12:51-74,100,100,0.0,205.0,204.24,65.84,531,554,8,0,1,1,1,1
caxton_dataset/print0/image-10.jpg,2020-10-08T13:12:52-20,100,100,0.0,205.0,204.24,65.84,531,554,9,0,1,1,1,1
caxton_dataset/print0/image-11.jpg,2020-10-08T13:12:52-67,100,100,0.0,205.0,204.24,65.84,531,554,10,0,1,1,1,1
caxton_dataset/print0/image-12.jpg,2020-10-08T13:12:53-12,100,100,0.0,205.0,204.41,65.77,531,554,11,0,1,1,1,1
caxton_dataset/print0/image-13.jpg,2020-10-08T13:12:53-59,100,100,0.0,205.0,204.41,65.77,531,554,12,0,1,1,1,1
caxton_dataset/print0/image-14.jpg,2020-10-08T13:12:54-05,100,100,0.0,205.0,204.41,65.77,531,554,13,0,1,1,1,1
caxton_dataset/print0/image-15.jpg,2020-10-08T13:12:54-52,100,100,0.0,205.0,204.41,65.77,531,554,14,0,1,1,1,1
caxton_dataset/print0/image-16.jpg,2020-10-08T13:12:54-98,100,100,0.0,205.0,204.83,65.66,531,554,15,0,1,1,1,1
caxton_dataset/print0/image-17.jpg,2020-10-08T13:12:55-45,100,100,0.0,205.0,204.83,65.66,531,554,16,0,1,1,1,1
caxton_dataset/print0/image-18.jpg,2020-10-08T13:12:55-91,100,100,0.0,205.0,204.83,65.66,531,554,17,0,1,1,1,1
caxton_dataset/print0/image-19.jpg,2020-10-08T13:12:56-38,100,100,0.0,205.0,204.83,65.66,531,554,18,0,1,1,1,1
caxton_dataset/print0/image-20.jpg,2020-10-08T13:12:56-84,100,100,0.0,205.0,204.83,65.66,531,554,19,0,1,1,1,1
caxton_dataset/print0/image-21.jpg,2020-10-08T13:12:57-30,100,100,0.0,205.0,204.9,65.46,531,554,20,0,1,1,1,1
caxton_dataset/print0/image-22.jpg,2020-10-08T13:12:57-77,100,100,0.0,205.0,204.9,65.46,531,554,21,0,1,1,1,1
caxton_dataset/print0/image-23.jpg,2020-10-08T13:12:58-24,100,100,0.0,205.0,204.9,65.46,531,554,22,0,1,1,1,1
caxton_dataset/print0/image-24.jpg,2020-10-08T13:12:58-70,100,100,0.0,205.0,204.9,65.46,531,554,23,0,1,1,1,1
caxton_dataset/print0/image-25.jpg,2020-10-08T13:12:59-16,100,100,0.0,205.0,204.9,65.17,531,554,24,0,1,1,1,1
caxton_dataset/print0/image-26.jpg,2020-10-08T13:12:59-63,100,100,0.0,205.0,204.9,65.17,531,554,25,0,1,1,1,1
caxton_dataset/print0/image-27.jpg,2020-10-08T13:13:00-09,100,100,0.0,205.0,204.9,65.17,531,554,26,0,1,1,1,1
caxton_dataset/print0/image-28.jpg,2020-10-08T13:13:00-56,100,100,0.0,205.0,204.9,65.17,531,554,27,0,1,1,1,1
caxton_dataset/print0/image-29.jpg,2020-10-08T13:13:01-02,100,100,0.0,205.0,205.59,64.91,531,554,28,0,1,1,1,1
caxton_dataset/print0/image-30.jpg,2020-10-08T13:13:01-48,100,100,0.0,205.0,205.59,64.91,531,554,29,0,1,1,1,1
caxton_dataset/print0/image-31.jpg,2020-10-08T13:13:01-95,100,100,0.0,205.0,205.59,64.91,531,554,30,0,1,1,1,1
caxton_dataset/print0/image-32.jpg,2020-10-08T13:13:02-42,100,100,0.0,205.0,205.59,64.91,531,554,31,0,1,1,1,1
caxton_dataset/print0/image-33.jpg,2020-10-08T13:13:02-88,100,100,0.0,205.0,205.59,64.91,531,554,32,0,1,1,1,1
caxton_dataset/print0/image-34.jpg,2020-10-08T13:13:03-35,100,100,0.0,205.0,205.59,64.56,531,554,33,0,1,1,1,1
caxton_dataset/print0/image-35.jpg,2020-10-08T13:13:03-81,100,100,0.0,205.0,205.59,64.56,531,554,34,0,1,1,1,1
caxton_dataset/print0/image-36.jpg,2020-10-08T13:13:04-27,100,100,0.0,205.0,205.59,64.56,531,554,35,0,1,1,1,1
caxton_dataset/print0/image-37.jpg,2020-10-08T13:13:04-74,100,100,0.0,205.0,205.59,64.56,531,554,36,0,1,1,1,1
caxton_dataset/print0/image-38.jpg,2020-10-08T13:13:05-20,100,100,0.0,205.0,205.78,64.17,531,554,37,0,1,1,1,1
caxton_dataset/print0/image-39.jpg,2020-10-08T13:13:05-67,100,100,0.0,205.0,205.78,64.17,531,554,38,0,1,1,1,1
caxton_dataset/print0/image-40.jpg,2020-10-08T13:13:06-13,100,100,0.0,205.0,205.78,64.17,531,554,39,0,1,1,1,1
caxton_dataset/print0/image-41.jpg,2020-10-08T13:13:06-60,100,100,0.0,205.0,205.78,64.17,531,554,40,0,1,1,1,1
caxton_dataset/print0/image-42.jpg,2020-10-08T13:13:07-06,100,100,0.0,205.0,205.94,64.09,531,554,41,0,1,1,1,1
caxton_dataset/print0/image-43.jpg,2020-10-08T13:13:07-52,100,100,0.0,205.0,205.94,64.09,531,554,42,0,1,1,1,1
caxton_dataset/print0/image-44.jpg,2020-10-08T13:13:07-99,100,100,0.0,205.0,205.94,64.09,531,554,43,0,1,1,1,1
caxton_dataset/print0/image-45.jpg,2020-10-08T13:13:08-46,100,100,0.0,205.0,205.94,64.09,531,554,44,0,1,1,1,1
caxton_dataset/print0/image-46.jpg,2020-10-08T13:13:08-92,100,100,0.0,205.0,205.94,64.09,531,554,45,0,1,1,1,1
caxton_dataset/print0/image-47.jpg,2020-10-08T13:13:09-38,100,100,0.0,205.0,205.9,64.05,531,554,46,0,1,1,1,1
caxton_dataset/print0/image-48.jpg,2020-10-08T13:13:09-85,100,100,0.0,205.0,205.9,64.05,531,554,47,0,1,1,1,1
caxton_dataset/print0/image-49.jpg,2020-10-08T13:13:10-32,100,100,0.0,205.0,205.9,64.05,531,554,48,0,1,1,1,1
